,vid_name,labeled_SVO_ts,labeled_train_SVO_ts
17,s01e01_seg02_clip_11,"[('Sheldon', 'pick', 'Penny'), ('Leonard', 'shake', 'door'), ('Howard', 'call', 'Raj'), ('Howard', 'hold', 'juice boxes'), ('Leonard', 'shake', 'door'), ('Howard', 'sit', 'chair')]","[(1, 11, 5), (0, 38, 0), (3, 29, 5), (3, 41, 10), (0, 38, 0), (3, 14, 0)]"
18,s01e01_seg02_clip_12,"[('Sheldon', 'run', 'building'), ('Leonard', 'knock', 'door'), ('Leonard', 'open', 'door')]","[(0, 4, 0), (0, 30, 0), (1, 21, 0)]"
19,s01e01_seg02_clip_13,"[('Raj', 'look', 'computer screen')]","[(0, 2, 13)]"
20,s01e01_seg02_clip_14,"[('Leonard', 'stand', 'doorway'), ('Sheldon', 'watch', 'Penny'), ('Penny', 'hug', 'Leonard')]","[(1, 19, 5), (1, 17, 0), (1, 33, 0)]"
21,s01e01_seg02_clip_15,"[('Penny', 'sit', 'back seat')]","[(2, 14, 0)]"
22,s01e02_seg01_clip_00,"[('Sheldon', 'hold', 'fork'), ('Sheldon', 'give', 'lecture'), ('Leonard', 'shut', 'door'), ('Leonard', 'pull', 'door'), ('Sheldon', 'take', 'plastic fork'), ('Leonard', 'put', 'container')]","[(1, 41, 14), (1, 31, 2), (0, 37, 0), (0, 40, 0), (1, 6, 14), (0, 2, 12)]"
23,s01e02_seg01_clip_01,"[('Leonard', 'say', 'Yes'), ('Howard', 'complimented', 'Penny'), ('Penny', 'hand', 'Leonard'), ('Penny', 'hand', 'key'), ('Penny', 'give', 'door key'), ('Penny', 'give', 'key'), ('Leonard', 'talk', 'Penny'), ('Howard', 'open', 'door')]","[(2, 31, 5), (2, 31, 1), (2, 31, 1), (2, 31, 1), (3, 30, 0), (1, 30, 0), (3, 30, 0), (1, 30, 0)]"
24,s01e02_seg01_clip_02,"[('Penny', 'hold', 'Purse'), ('Leonard', 'wear', 'shirt'), ('Raj', 'join', 'Sheldon'), ('Penny', 'join', 'Sheldon')]","[(2, 41, 1), (0, 9, 1), (4, 23, 5), (2, 23, 5)]"
25,s01e02_seg01_clip_03,"[('Penny', 'leave', 'group'), ('Sheldon', 'open', 'door'), ('Sheldon', 'enter', 'apartment'), ('Raj', 'put', 'arm')]","[(2, 21, 2), (1, 30, 0), (1, 17, 0), (4, 2, 13)]"
26,s01e02_seg02_clip_00,[],[]
27,s01e02_seg02_clip_01,"[('Leonard', 'push', 'box'), ('Leonard', 'hold', 'package'), ('Sheldon', 'push', 'box')]","[(0, 5, 2), (0, 41, 2), (1, 5, 2)]"
28,s01e02_seg02_clip_02,"[('Sheldon', 'sit', 'floor'), ('Sheldon', 'pick', 'tray'), ('Leonard', 'drop', 'box')]","[(1, 14, 0), (1, 11, 12), (0, 11, 2)]"
29,s01e02_seg02_clip_03,[],[]
30,s01e02_seg02_clip_04,[],[]
31,s01e02_seg02_clip_05,"[('Sheldon', 'hold', 'CD'), ('Leonard', 'leave', 'apartment'), ('Sheldon', 'put', 'clothes'), ('Sheldon', 'pick', 'clothing')]","[(1, 41, 19), (0, 21, 0), (1, 2, 1), (1, 11, 1)]"
32,s01e02_seg02_clip_06,"[('Leonard', 'hold', 'cloth'), ('Sheldon', 'enter', 'room'), ('Sheldon', 'pick', 'shirt')]","[(0, 41, 7), (1, 17, 0), (1, 11, 1)]"
33,s01e02_seg02_clip_07,"[('Sheldon', 'hold', 'milk'), ('Sheldon', 'ask', 'Leonard'), ('Leonard', 'hold', 'coffee'), ('Sheldon', 'take', 'cereal'), ('Sheldon', 'pick', 'cereal'), ('Sheldon', 'open', 'refrigerator')]","[(1, 41, 12), (1, 28, 5), (0, 41, 12), (1, 6, 12), (1, 11, 12), (1, 30, 8)]"
34,s01e02_seg02_clip_08,[],[]
35,s01e02_seg02_clip_09,"[('Sheldon', 'shut', 'door'), ('Sheldon', 'have', 'a mug')]","[(1, 37, 0), (1, 37, 0)]"
36,s01e02_seg02_clip_10,"[('Sheldon', 'apologize', 'Penny'), ('Penny', 'carry', 'bag'), ('Penny', 'open', 'door')]","[(2, 6, 1), (2, 30, 0), (2, 33, 0)]"
37,s01e02_seg02_clip_11,"[('Penny', 'hold', 'Basket'), ('Penny', 'place', 'laundry'), ('Penny', 'give', 'hug')]","[(2, 41, 1), (2, 31, 21), (2, 31, 21)]"
38,s01e02_seg02_clip_12,"[('Howard', 'tell', 'Leonard')]","[(4, 2, 1)]"
39,s01e02_seg02_clip_13,"[('Howard', 'rub', 'hands'), ('Leonard', 'stuff', 'letter'), ('Leonard', 'slip', 'paper')]","[(0, 19, 2), (0, 30, 0), (0, 2, 2)]"
40,s01e02_seg02_clip_14,[],[]
41,s01e02_seg02_clip_15,"[('Howard', 'wear', 'hat'), ('Leonard', 'wear', 'jacket'), ('Leonard', 'walk', 'counter'), ('Sheldon', 'leave', 'apartment')]","[(3, 9, 1), (0, 9, 1), (0, 42, 0), (1, 21, 0)]"
42,s01e03_seg01_clip_00,[],[]
43,s01e03_seg01_clip_01,"[('Sheldon', 'put', 'Sword of Azeroth'), ('Sheldon', 'hold', 'computer'), ('Howard', 'buy', 'Sword of Azeroth'), ('Sheldon', 'sit', 'couch'), ('Sheldon', 'hold', 'laptop'), ('Raj', 'tell', 'others')]","[(1, 2, 18), (1, 41, 8), (3, 16, 18), (1, 14, 0), (1, 41, 8), (3, 41, 8)]"
44,s01e03_seg02_clip_00,"[('Penny', 'kiss', 'Leonard'), ('Leonard', 'interest', 'Penny'), ('Leonard', 'take', 'envelope'), ('Leonard', 'put', 'blue pillow')]","[(2, 26, 5), (0, 6, 9), (0, 2, 0), (0, 31, 9)]"
45,s01e03_seg02_clip_01,"[('Raj', 'close', 'bag'), ('Leonard', 'enter', 'room'), ('Leonard', 'walk', 'apartment')]","[(4, 33, 1), (0, 17, 0), (0, 42, 0)]"
46,s01e03_seg02_clip_02,"[('Sheldon', 'hold', 'box'), ('Sheldon', 'put', 'box'), ('Raj', 'hold', 'bowl'), ('Howard', 'walk', 'Leonard'), ('Sheldon', 'pick', 'chopstick'), ('Sheldon', 'pick', 'chopstick'), ('Sheldon', 'give', 'advice')]","[(1, 41, 2), (1, 2, 2), (4, 41, 12), (3, 42, 5), (1, 11, 14), (1, 11, 14), (1, 31, 2)]"
47,s01e03_seg02_clip_03,"[('Leslie', 'remove', 'goggles'), ('Leslie', 'hand', 'goggles')]","[(5, 7, 12), (5, 31, 12)]"
48,s01e03_seg02_clip_04,"[('Leonard', 'take', 'glasses'), ('Lesley', 'offer', 'mint'), ('Leonard', 'take', 'goggle')]","[(0, 6, 12), (0, 6, 10), (0, 2, 13)]"
49,s01e03_seg02_clip_05,[],[]
50,s01e03_seg02_clip_06,"[('Howard', 'touch', 'Jenga game'), ('Leonard', 'enter', 'apartment'), ('Howard', 'discuss', 'robots'), ('Leonard', 'enter', 'apartment')]","[(3, 20, 18), (0, 17, 0), (3, 0, 8), (0, 17, 0)]"
51,s01e03_seg02_clip_07,"[('Sheldon', 'wear', 'red shirt'), ('Howard', 'take', 'breath'), ('Howard', 'shake', 'head')]","[(1, 9, 1), (3, 6, 13), (3, 38, 13)]"
52,s01e03_seg02_clip_08,"[('Sheldon', 'Sheldon', 'hold'), ('Leonard', 'open', 'door')]","[(0, 30, 0), (0, 41, 1)]"
53,s01e03_seg02_clip_09,"[('Sheldon', 'tell', 'Leonard'), ('Leonard', 'say', 'Sheldon'), ('Leonard', 'knock', 'door'), ('Sheldon', 'get', 'cat'), ('Leonard', 'pick', 'brown paper bags')]","[(0, 4, 0), (1, 17, 15), (0, 11, 1), (0, 42, 0), (0, 6, 1)]"
54,s01e03_seg02_clip_10,"[('Leonard', 'take', 'Penny'), ('Penny', 'open', 'door'), ('Leonard', 'visit', 'Penny')]","[(0, 6, 5), (2, 30, 0), (0, 17, 5)]"
55,s01e03_seg02_clip_11,[],[]
56,s01e03_seg02_clip_12,[],[]
57,s01e03_seg02_clip_13,"[('Sheldon', 'open', 'drawer'), ('Leonard', 'hold', 'open palms'), (""'Sheldon"", 'get', 'back')]","[(1, 30, 0), (0, 41, 13), (1, 14, 0)]"
58,s01e03_seg02_clip_14,"[('Sheldon', 'hold', 'Phone'), ('Leonard', 'wear', 'shirt'), ('Leonard', 'wear', 'shirt')]","[(1, 41, 8), (0, 9, 1), (0, 9, 1)]"
59,s01e03_seg02_clip_15,"[('Leonard', 'hold', 'Menu'), ('Leonard', 'ask', 'Penny'), ('Leonard', 'wear', 'shirt'), ('Penny', 'wear', 'shirt')]","[(0, 28, 5), (0, 9, 1), (2, 9, 1), (0, 4, 10)]"
60,s01e03_seg02_clip_16,"[('Leonard', 'sit', 'table'), ('Penny', 'sit', 'table')]","[(0, 14, 10), (2, 14, 10)]"
61,s01e03_seg02_clip_17,"[('Penny', 'ask', 'Leonard'), ('Leonard', 'hit', 'head'), ('head', 'hit', 'table')]","[(2, 28, 5), (0, 17, 13), (0, 17, 2)]"
62,s01e03_seg02_clip_18,[],[]
63,s01e04_seg01_clip_00,"[('Leonard', 'wear', 'suit'), ('Leonard', 'talk', 'Sheldon'), ('Sheldon', 'wear', 'sweater'), ('Sheldon', 'talk', 'Leonard'), ('Sheldon', 'give', 'time machine'), ('Leonard', 'go', 'down'), ('Leonard', 'leave', 'apartment')]","[(0, 9, 1), (1, 9, 1), (1, 31, 8), (0, 21, 0), (1, 21, 0), (0, 9, 1), (1, 9, 1)]"
64,s01e04_seg01_clip_01,"[('Leonard', 'ask', 'Raj')]","[(0, 28, 5)]"
65,s01e04_seg01_clip_02,"[('Sheldon', 'carry', 'cardboard box'), ('Sheldon', 'call', 'boss'), ('Sheldon', 'carry', 'box'), ('Sheldon', 'carry', 'box')]","[(1, 6, 2), (1, 29, 2), (1, 6, 2), (1, 6, 2)]"
66,s01e04_seg02_clip_00,"[('Leonard', 'put', 'mug'), ('Leonard', 'walk', 'into')]","[(0, 2, 12), (0, 17, 0)]"
67,s01e04_seg02_clip_01,"[('Sheldon', 'put', 'book'), ('Sheldon', 'wear', 'shirt'), ('Sheldon', 'take', 'picture'), ('Penny', 'open', 'door'), ('Penny', 'mention', 'Sheldon'), ('Sheldon', 'go', 'store'), ('Sheldon', 'carry', 'plate'), ('Sheldon', 'put', 'notebook')]","[(1, 2, 2), (1, 9, 1), (1, 6, 2), (2, 30, 0), (1, 6, 12), (1, 2, 2), (1, 11, 12), (1, 42, 0)]"
68,s01e04_seg02_clip_02,[],[]
69,s01e04_seg02_clip_03,[],[]
70,s01e04_seg02_clip_04,"[('Sheldon', 'head', 'out'), ('Sheldon', 'push', 'cart')]","[(1, 5, 0), (2, 11, 22)]"
71,s01e04_seg02_clip_05,"[('Penny', 'close', 'door'), ('Penny', 'walk', 'into her apartment'), ('Sheldon', 'carry', 'groceries'), ('Penny', 'close', 'door'), ('Penny', 'take', 'grocery bag')]","[(2, 33, 0), (2, 42, 0), (1, 6, 12), (2, 33, 0), (2, 6, 1)]"
72,s01e04_seg02_clip_06,"[('Leonard', 'open', 'door'), ('Sheldon', 'shake', 'head'), ('Leonard', 'walk', 'through the front door')]","[(0, 30, 0), (1, 38, 13), (0, 42, 0)]"
73,s01e04_seg02_clip_07,"[('Leonard', 'call', 'Sheldon'), ('Sheldon', 'wear', 'shirt'), ('Leonard', 'open', 'door'), ('Leonard', 'see', 'Sheldon'), ('Leonard', 'open', 'door'), ('Mrs cooper', 'give', 'hug')]","[(0, 29, 5), (1, 9, 1), (0, 30, 0), (0, 19, 5), (0, 30, 0), (1, 14, 0)]"
74,s01e04_seg02_clip_08,"[('Sheldon', 'wear', 'poncho'), ('Leonard', 'carry', 'satchel'), ('Leonard', 'call', 'his mother'), ('Sheldon', 'leave', 'room')]","[(1, 9, 1), (0, 6, 1), (0, 29, 5), (1, 21, 0)]"
75,s01e04_seg02_clip_09,"[('Penny', 'hold', 'bottle'), ('Howard', 'see', 'Sheldon'), ('Cooper', 'shake', 'head'), ('Raj', 'sit', 'table')]","[(2, 41, 12), (3, 19, 5), (4, 14, 10), (4, 30, 12)]"
76,s01e04_seg02_clip_10,"[('Penny', 'hold', 'a bottle of water')]","[(2, 41, 12)]"
77,s01e04_seg02_clip_11,"[('Raj', 'sit', 'beside Howard')]","[(4, 14, 5)]"
78,s01e04_seg02_clip_12,"[('Sheldon', 'carry', 'plate'), ('Howard', 'hold', 'the hand of Raj')]","[(1, 6, 12), (3, 41, 5)]"
79,s01e04_seg02_clip_13,"[('Leonard', 'sit', 'in the living room'), ('Penny', 'sit', 'in the living room')]","[(0, 14, 0), (2, 14, 0)]"
80,s01e04_seg02_clip_14,[],[]
81,s01e04_seg02_clip_15,[],[]
82,s01e04_seg02_clip_16,"[('Sheldon', 'leave', 'office'), ('Sheldon', 'get', 'Job'), ('Cooper', 'leave', 'door')]","[(1, 21, 0), (1, 17, 2), (1, 37, 0)]"
83,s01e05_seg01_clip_00,[],[]
84,s01e05_seg01_clip_01,"[('Sheldon', 'sit', 'at the table'), ('Sheldon', 'take', 'order'), ('Leonard', 'take', 'order'), ('Leonard', 'sit', 'at the table'), ('Penny', 'take', 'order')]","[(1, 14, 0), (1, 6, 2), (0, 6, 2), (0, 14, 0), (2, 6, 2)]"
85,s01e05_seg01_clip_02,[],[]
86,s01e05_seg01_clip_03,[],[]
87,s01e05_seg02_clip_00,[],[]
88,s01e05_seg02_clip_01,"[('Leonard', 'hold', 'Violin'), ('Leonard', 'sit', 'chair'), ('Lesley', 'hold', 'violin')]","[(0, 41, 6), (0, 14, 0), (0, 41, 6)]"
89,s01e05_seg02_clip_02,"[('Sheldon', 'knock', 'door'), ('Lesley', 'pick', 'violin'), ('Leonard', 'place', 'bow')]","[(1, 4, 0), (1, 33, 0), (1, 4, 0)]"
90,s01e05_seg02_clip_03,"[('Penny', 'sit', 'couch'), ('Penny', 'press', 'hand'), ('Penny', 'talk', 'Sheldon')]","[(2, 14, 0), (2, 2, 13), (2, 14, 0)]"
91,s01e05_seg02_clip_04,"[('Penny', 'sit', 'couch'), ('Sheldon', 'stop', 'Penny'), ('Sheldon', 'pick', 'violin case'), ('Penny', 'ask', 'Sheldon'), ('Penny', 'leave', 'Sheldon')]","[(2, 14, 0), (1, 11, 2), (2, 28, 5), (2, 21, 5), (2, 30, 0)]"
92,s01e05_seg02_clip_05,[],[]
93,s01e05_seg02_clip_06,"[('Sheldon', 'put', 'blanket'), ('Sheldon', 'sit', 'couch'), ('Sheldon', 'sleep', 'couch'), ('Sheldon', 'pass', 'board'), ('Sheldon', 'put', 'blanket'), ('Sheldon', 'get', 'up')]","[(1, 2, 10), (1, 14, 0), (1, 36, 0), (1, 31, 0), (1, 2, 10), (1, 36, 0)]"
94,s01e05_seg02_clip_07,"[('Sheldon', 'hold', 'blanket')]","[(1, 41, 10)]"
95,s01e05_seg02_clip_08,"[('Sheldon', 'put', 'phone'), ('Penny', 'carry', 'a basket of laundry'), ('Penny', 'chat', 'Leonard'), ('Sheldon', 'take', 'phone'), ('Leonard', 'exit', 'apartment'), ('Sheldon', 'pull', 'cellphone'), ('Sheldon', 'take', 'cellphone')]","[(1, 2, 8), (2, 6, 7), (1, 6, 8), (0, 21, 0), (1, 40, 8), (1, 6, 8), (2, 6, 1)]"
96,s01e05_seg02_clip_09,"[('Sheldon', 'close', 'door'), ('Penny', 'hold', 'laundry basket'), ('Penny', 'talk', 'Leonard'), ('Penny', 'hold', 'laundry nasket'), ('Penny', 'speak', 'Leonard')]","[(1, 33, 0), (2, 41, 1), (1, 21, 0), (2, 6, 1), (2, 30, 0)]"
97,s01e05_seg02_clip_10,"[('Leslie', 'put', 'banana'), ('Leslie', 'give', 'eye glasses'), ('Leonard', 'enter', 'room'), ('Leslie', 'put', 'banana'), ('Leslie', 'pull', 'banana'), ('Leslie', 'hand', 'goggles'), ('Leonard', 'enter', 'lab')]","[(5, 2, 12), (5, 31, 12), (0, 17, 0), (5, 2, 12), (5, 40, 12), (5, 31, 12), (0, 17, 0)]"
98,s01e05_seg02_clip_11,[],[]
99,s01e05_seg02_clip_12,[],[]
100,s01e05_seg02_clip_13,[],[]
101,s01e06_seg01_clip_00,"[('Leonard', 'hold', 'door')]","[(0, 41, 0)]"
102,s01e06_seg01_clip_01,[],[]
103,s01e06_seg02_clip_00,"[('Leonard', 'open', 'door'), ('Howard', 'shake', 'head'), ('Leonard', 'wear', 'costume'), ('Leonard', 'answer', 'door'), ('Leonard', 'open', 'door'), ('Leonard', 'wear', 'costume')]","[(0, 30, 0), (3, 38, 13), (0, 9, 1), (0, 30, 0), (0, 9, 1), (0, 30, 0)]"
104,s01e06_seg02_clip_01,[],[]
105,s01e06_seg02_clip_02,"[('Sheldon', 'pour', 'drink'), ('Sheldon', 'pour', 'juice')]","[(1, 35, 12), (1, 35, 12)]"
106,s01e06_seg02_clip_03,"[('Leonard', 'hold', 'spatila'), ('Raj', 'wear', 'costume')]","[(4, 9, 1), (1, 9, 1)]"
107,s01e06_seg02_clip_04,"[('Raj', 'wear', 'helmet'), ('Raj', 'wear', 'wig')]","[(4, 9, 1), (4, 9, 1)]"
108,s01e06_seg02_clip_05,"[('Sheldon', 'ask', 'Leonard'), ('Raj', 'sit', 'couch'), ('Penny', 'wear', 'cat costume'), ('Sheldon', 'sit', 'sofa'), ('Leonard', 'sit', 'couch'), ('Sheldon', 'sit', 'couch'), ('Raj', 'sit', 'couch')]","[(1, 28, 5), (4, 14, 0), (2, 9, 1), (1, 14, 0), (0, 14, 0), (1, 14, 0), (4, 14, 0)]"
109,s01e06_seg02_clip_06,"[('Howard', 'pick', 'bow'), ('Sheldon', 'watch', 'Howard'), ('Leonard', 'sit', 'couch'), ('Sheldon', 'sit', 'couch'), ('Leonard', 'watch', 'Howard'), ('Raj', 'sit', 'couch')]","[(1, 19, 5), (0, 14, 0), (1, 14, 0), (0, 19, 5), (4, 14, 0), (4, 19, 5)]"
110,s01e06_seg02_clip_07,[],[]
111,s01e06_seg02_clip_08,"[('woman', 'hold', 'cup'), ('Leonard', 'see', ""Penny's sexy ex boyfriend""), ('Raj', 'sit', 'sofa')]","[(0, 19, 5), (4, 14, 0), (4, 14, 0)]"
112,s01e06_seg02_clip_09,"[('Leonard', 'call', 'Leonard'), ('Leonard', 'call', 'Sheldon'), ('Sheldon', 'discuss', ""Penny's friend's size""), ('Leonard', 'discuss', ""Penny's friend's size""), ('Penny', 'give', 'hug'), ('Leonard', 'put', 'hand')]","[(0, 29, 5), (0, 29, 5), (1, 0, 5), (0, 0, 5), (2, 31, 21), (0, 2, 13)]"
113,s01e06_seg02_clip_10,[],[]
114,s01e06_seg02_clip_11,[],[]
115,s01e06_seg02_clip_12,"[('Penny', 'pick', 'Leonard')]","[(2, 11, 5)]"
116,s01e06_seg02_clip_13,"[('Sheldon', 'leave', 'party'), ('Leonard', 'leave', 'party'), ('Sheldon', 'bring', 'a cup of tea')]","[(1, 21, 2), (0, 21, 2), (1, 6, 12)]"
117,s01e06_seg02_clip_14,"[('Leonard', 'sit', 'couch'), ('Leonard', 'drink', 'Tea'), ('Penny', 'sit', 'couch'), ('Leonard', 'put', 'mug'), ('Penny', 'knock', 'door'), ('Penny', 'put', 'head'), ('Leonard', 'sit', 'couch'), ('Penny', 'sit', 'couch'), ('Leonard', 'put', 'cup'), ('Leonard', 'put', 'saucer')]","[(0, 14, 0), (0, 24, 12), (2, 14, 0), (0, 2, 12), (2, 4, 0), (2, 2, 13), (0, 14, 0), (2, 14, 0), (0, 2, 12), (0, 2, 12)]"
118,s01e06_seg02_clip_15,[],[]
119,s01e06_seg02_clip_16,"[('Penny', 'kiss', 'Leonard'), ('Penny', 'kiss', 'Leonard'), ('Penny', 'kiss', 'Leonard'), ('Leonard', 'close', 'door'), ('Leonard', 'lock', 'door'), ('Penny', 'kiss', 'Leonard'), ('Penny', 'put', 'hand'), ('Leonard', 'close', 'door'), ('Leonard', 'sit', 'couch')]","[(2, 26, 5), (2, 26, 5), (2, 26, 5), (0, 33, 0), (2, 26, 5), (2, 2, 13), (0, 33, 0), (0, 14, 0), (2, 14, 0)]"
120,s01e06_seg02_clip_17,"[('Howard', 'wear', 'Robinhood costume'), ('Sheldon', 'open', 'door'), ('Sheldon', 'see', 'Howard'), ('Sheldon', 'answer', 'door'), ('Howard', 'ask', 'Sheldon')]","[(3, 9, 1), (1, 30, 0), (1, 19, 5), (3, 28, 5), (1, 30, 0)]"
121,s01e07_seg01_clip_00,"[('Sheldon', 'hold', 'Xbox game controller'), ('Howard', 'pass', 'phone'), ('Howard', 'call', 'someone')]","[(1, 41, 8), (3, 31, 8), (3, 29, 5)]"
122,s01e07_seg01_clip_01,[],[]
123,s01e07_seg02_clip_00,"[('Penny', 'ask', 'Sheldon'), ('Penny', 'stare', 'door')]","[(2, 28, 5), (4, 11, 8)]"
124,s01e07_seg02_clip_01,"[('Penny', 'ask', 'Sheldon'), ('Sheldon', 'get', 'upset'), ('Penny', 'beat', 'Sheldon')]","[(2, 28, 5), (1, 17, 21), (2, 14, 0)]"
125,s01e07_seg02_clip_02,"[('Penny', 'get', 'up'), ('Leonard', 'follow', 'Penny')]","[(1, 6, 18), (2, 28, 5)]"
126,s01e07_seg02_clip_03,"[('Penny', 'ask', 'Leonard'), ('Leonard', 'get', 'Pillow'), ('Penny', 'ask', 'Leonard'), ('Leonard', 'wear', 'T shirt')]","[(2, 28, 5), (0, 17, 10), (2, 28, 5), (0, 9, 1)]"
127,s01e07_seg02_clip_04,"[('Leonard', 'get', 'Pillow'), ('Leonard', 'get', 'blanket'), ('Leonard', 'put', 'pillow'), ('Leonard', 'leave', 'Penny'), ('Penny', 'get', 'pillow'), ('Penny', 'get', 'blanket'), ('Leonard', 'leave', 'Sheldon')]","[(0, 17, 10), (0, 17, 10), (0, 2, 0), (0, 21, 5), (2, 17, 0), (2, 17, 10), (0, 21, 5)]"
128,s01e07_seg02_clip_05,"[('Penny', 'read', 'Penny'), ('Raj', 'eat', 'in')]","[(2, 19, 5), (2, 17, 5)]"
129,s01e07_seg02_clip_07,[],[]
130,s01e07_seg02_clip_08,[],[]
131,s01e07_seg02_clip_09,[],[]
132,s01e07_seg02_clip_10,[],[]
133,s01e07_seg02_clip_11,[],[]
134,s01e07_seg02_clip_12,[],[]
135,s01e07_seg02_clip_13,[],[]
136,s01e07_seg02_clip_14,[],[]
137,s01e07_seg02_clip_15,[],[]
138,s01e07_seg02_clip_16,[],[]
139,s01e07_seg02_clip_17,[],[]
140,s01e08_seg01_clip_00,[],[]
141,s01e08_seg01_clip_01,[],[]
142,s01e08_seg01_clip_02,[],[]
143,s01e08_seg01_clip_03,[],[]
144,s01e08_seg02_clip_00,[],[]
145,s01e08_seg02_clip_01,[],[]
146,s01e08_seg02_clip_02,[],[]
147,s01e08_seg02_clip_03,[],[]
148,s01e08_seg02_clip_04,[],[]
149,s01e08_seg02_clip_05,[],[]
150,s01e08_seg02_clip_06,[],[]
151,s01e08_seg02_clip_07,[],[]
152,s01e08_seg02_clip_08,[],[]
153,s01e08_seg02_clip_09,[],[]
154,s01e08_seg02_clip_10,[],[]
155,s01e08_seg02_clip_11,[],[]
156,s01e08_seg02_clip_12,[],[]
157,s01e08_seg02_clip_13,[],[]
158,s01e08_seg02_clip_14,[],[]
159,s01e09_seg01_clip_00,[],[]
160,s01e09_seg01_clip_01,[],[]
161,s01e09_seg02_clip_00,[],[]
162,s01e09_seg02_clip_01,[],[]
163,s01e09_seg02_clip_02,[],[]
164,s01e09_seg02_clip_03,[],[]
165,s01e09_seg02_clip_04,[],[]
166,s01e09_seg02_clip_05,[],[]
167,s01e09_seg02_clip_06,[],[]
168,s01e09_seg02_clip_07,[],[]
169,s01e09_seg02_clip_08,[],[]
170,s01e09_seg02_clip_09,[],[]
171,s01e09_seg02_clip_10,[],[]
